,location,beds,price,baths,half_baths
791,West,2,65.0,1,0
792,West,2,65.0,1,0
793,West,2,65.0,1,0
794,West,2,65.0,1,0
795,West,2,65.0,1,0
796,East,2,70.0,1,0
797,East,3,137.5,1,0
798,East,2,75.0,1,0
799,East,2,80.0,1,0
800,East,2,80.0,1,0
801,East,2,80.0,1,0
802,North,1,90.0,1,0
803,Null,2,95.0,1,0
804,Null,3,99.0,1,0
805,Null,3,199.0,1,0
806,West,3,149.0,1,0
807,West,3,147.0,1,0
808,West,3,149.0,1,0
809,East,2,100.0,1,0
810,East,2,100.0,1,0
811,East,2,100.0,1,0
812,Null,2,100.0,1,0
813,East,2,100.0,1,0
814,East,2,100.0,1,0
815,East,2,100.0,1,0
816,East,2,100.0,1,0
817,East,2,100.0,1,0
818,West,2,100.0,1,0
819,Null,2,100.0,1,0
820,East,2,100.0,1,1
821,Null,2,100.0,1,0
822,East,2,100.0,1,0
823,Null,2,100.0,1,0
824,East,2,100.0,1,0
825,West,1,100.0,1,0
826,West,1,100.0,1,0
827,West,1,100.0,1,0
828,Null,2,200.0,1,0
829,Null,2,200.0,1,0
830,Null,2,200.0,1,0
831,Null,2,200.0,1,0
832,West,2,200.0,1,0
833,West,2,200.0,1,0
834,West,2,200.0,1,0
835,West,2,200.0,1,0
836,East,2,110.0,1,0
837,West,2,110.0,1,0
838,West,2,110.0,1,0
839,West,2,110.0,1,0
840,East,2,120.0,1,0
841,East,2,120.0,1,0
842,Null,3,125.0,1,0
843,Null,4,125.0,1,0
844,Null,3,125.0,1,0
845,East,2,125.0,1,0
846,Null,2,315.0,1,0
847,West,2,135.0,1,0
848,West,2,135.0,1,0
849,West,2,135.0,1,0
850,Null,2,240.0,1,0
851,East,2,140.0,1,0
852,Null,2,240.0,1,0
853,Null,2,240.0,1,0
854,Null,2,240.0,1,0
855,Null,2,240.0,1,0
856,West,2,149.0,1,0
857,West,2,150.0,1,0
858,North,2,162.5,1,0
859,North,2,162.5,1,0
860,Null,2,150.0,1,0
861,Null,1,427.5,1,0
862,East,2,155.0,1,0
863,East,2,155.0,1,0
864,East,2,155.0,1,0
865,Null,1,228.5,1,0
866,West,2,260.0,1,0
867,West,2,260.0,1,0
868,West,2,260.0,1,0
869,West,2,260.0,1,0
870,West,2,260.0,1,0
871,West,2,260.0,1,0
872,West,2,260.0,1,0
873,West,2,260.0,1,0
874,West,2,260.0,1,0
875,West,2,260.0,1,0
876,North,2,165.0,1,0
877,East,2,190.0,1,0
878,Null,1,179.0,1,0
879,East,2,180.0,1,0
880,East,2,190.0,1,0
881,East,2,190.0,1,0
882,East,2,180.0,1,0
883,East,2,180.0,1,0
884,East,2,180.0,1,0
885,East,2,185.0,1,1
886,West,2,205.0,1,0
887,Null,2,190.0,1,0
888,West,2,195.0,1,0
889,Null,2,195.0,1,0
890,East,2,195.0,1,0
891,East,2,195.0,1,0
892,West,2,195.0,1,0
893,West,2,200.0,1,0
894,Null,2,200.0,1,0
895,East,2,200.0,1,0
896,Null,2,200.0,1,0
897,Null,2,200.0,1,0
898,Null,2,200.0,1,0
899,West,2,200.0,1,0
900,East,2,215.0,1,0
901,West,1,200.0,1,0
902,East,2,200.0,1,0
903,East,3,200.0,1,0
904,North,3,200.0,1,0
905,West,3,200.0,1,0
906,Null,2,200.0,1,0
907,Null,1,200.0,1,0
908,Null,3,200.0,1,0
909,East,3,200.0,1,0
910,East,3,200.0,1,0
911,North,2,200.0,1,0
912,East,2,200.0,1,0
913,Null,4,200.0,1,2
914,Null,3,200.0,1,0
915,West,2,220.0,1,0
916,East,2,230.0,1,0
917,Null,2,220.0,1,0
918,Null,2,220.0,1,0
919,Null,2,220.0,1,0
920,Null,2,220.0,1,0
921,East,2,232.5,1,0
922,Null,2,225.0,1,1
923,East,2,230.0,1,1
924,East,2,230.0,1,1
925,East,2,230.0,1,1
926,East,2,230.0,1,1
927,East,2,230.0,1,1
928,East,2,230.0,1,1
929,East,2,230.0,1,1
930,East,2,230.0,1,1
931,East,2,230.0,1,1
932,East,2,230.0,1,1
933,East,2,230.0,1,1
934,East,2,230.0,1,1
935,East,2,230.0,1,1
936,East,2,230.0,1,1
937,East,2,230.0,1,1
938,East,2,230.0,1,1
939,East,2,235.0,1,0
940,East,2,235.0,1,0
941,Null,2,240.0,1,1
942,West,2,240.0,1,1
943,West,2,240.0,1,1
944,Null,2,240.0,1,0
945,East,2,240.0,1,0
946,East,2,240.0,1,0
947,East,2,240.0,1,0
948,East,2,240.0,1,0
949,North,3,240.0,1,0
950,North,3,240.0,1,0
951,West,2,250.0,1,0
952,West,2,250.0,1,0
953,East,2,260.0,1,0
954,Null,3,250.0,1,0
955,West,2,250.0,1,0
956,Null,2,250.0,1,0
957,North,2,250.0,1,0
958,West,1,250.0,1,0
959,West,1,250.0,1,0
960,Null,3,250.0,1,0
961,West,1,250.0,1,1
962,West,2,250.0,1,0
963,East,3,250.0,1,0
964,East,3,250.0,1,0
965,Null,3,250.0,1,0
966,East,2,255.0,1,0
967,North,2,265.0,1,0
968,North,2,265.0,1,0
969,North,2,265.0,1,0
970,West,2,265.0,1,0
